2018/11/04 23:24:32 loader.go:77: Connecting to zero at localhost:5080
2018/11/04 23:24:32 Replaying from value pointer: {Fid:0 Len:0 Offset:0}
2018/11/04 23:24:32 Iterating file id: 0
2018/11/04 23:24:32 Iteration took: 24.291µs
processing file (1 out of 1): /home/iderr/workspace/graphdb-benchmarks/databases/dgraph/../../data/21million.rdf.gz
MAP 01s rdf_count:331.0 err_count:0.000 rdf_speed:329.7/sec edge_count:662.0 edge_speed:659.3/sec
MAP 02s rdf_count:795.0 err_count:0.000 rdf_speed:396.6/sec edge_count:1.590k edge_speed:793.2/sec
MAP 03s rdf_count:2.115k err_count:0.000 rdf_speed:703.8/sec edge_count:4.230k edge_speed:1.408k/sec
MAP 04s rdf_count:357.4k err_count:0.000 rdf_speed:89.23k/sec edge_count:714.8k edge_speed:178.5k/sec
MAP 05s rdf_count:531.9k err_count:0.000 rdf_speed:106.2k/sec edge_count:1.064M edge_speed:212.4k/sec
MAP 06s rdf_count:754.5k err_count:0.000 rdf_speed:125.6k/sec edge_count:1.509M edge_speed:251.1k/sec
MAP 07s rdf_count:939.3k err_count:0.000 rdf_speed:134.0k/sec edge_count:1.879M edge_speed:268.0k/sec
MAP 08s rdf_count:1.134M err_count:0.000 rdf_speed:141.6k/sec edge_count:2.268M edge_speed:283.1k/sec
MAP 09s rdf_count:1.390M err_count:0.000 rdf_speed:154.3k/sec edge_count:2.780M edge_speed:308.6k/sec
MAP 10s rdf_count:1.635M err_count:0.000 rdf_speed:163.4k/sec edge_count:3.271M edge_speed:326.8k/sec
MAP 11s rdf_count:1.814M err_count:0.000 rdf_speed:164.8k/sec edge_count:3.628M edge_speed:329.5k/sec
MAP 12s rdf_count:2.096M err_count:0.000 rdf_speed:174.5k/sec edge_count:4.193M edge_speed:349.1k/sec
MAP 13s rdf_count:2.411M err_count:0.000 rdf_speed:185.3k/sec edge_count:4.823M edge_speed:370.7k/sec
MAP 14s rdf_count:2.727M err_count:0.000 rdf_speed:194.6k/sec edge_count:5.454M edge_speed:389.2k/sec
MAP 15s rdf_count:3.047M err_count:0.000 rdf_speed:203.0k/sec edge_count:6.095M edge_speed:406.0k/sec
MAP 16s rdf_count:3.359M err_count:0.000 rdf_speed:209.8k/sec edge_count:6.717M edge_speed:419.5k/sec
MAP 17s rdf_count:3.672M err_count:0.000 rdf_speed:215.8k/sec edge_count:7.343M edge_speed:431.7k/sec
MAP 18s rdf_count:4.042M err_count:0.000 rdf_speed:224.4k/sec edge_count:8.083M edge_speed:448.8k/sec
MAP 19s rdf_count:4.424M err_count:0.000 rdf_speed:232.7k/sec edge_count:8.849M edge_speed:465.4k/sec
